,Date,Low,High,Close,Open
1134,2019-03-15,23.94,23.99,23.94,23.97
1133,2019-03-15,23.91,23.96,23.96,23.92
1132,2019-03-15,23.93,24.0,23.93,23.96
1131,2019-03-15,23.91,23.955,23.955,23.925
1130,2019-03-15,23.885,23.93,23.91,23.885
1129,2019-03-15,23.88,23.94,23.88,23.93
1128,2019-03-15,23.91,23.97,23.91,23.955
1127,2019-03-15,23.96,24.03,23.96,24.03
1126,2019-03-15,24.03,24.095,24.03,24.05
1125,2019-03-15,24.02,24.07,24.06,24.06
1124,2019-03-15,24.0,24.08,24.07,24.07
1123,2019-03-15,24.015,24.08,24.06,24.015
1122,2019-03-15,23.97,24.01,24.01,23.97
1121,2019-03-15,23.92,23.97,23.96,23.935
1120,2019-03-15,23.87,23.94,23.94,23.87
1119,2019-03-15,23.83,23.88,23.86,23.86
1118,2019-03-15,23.84,23.86,23.8435,23.85
1117,2019-03-15,23.88,23.95,23.88,23.9
1116,2019-03-15,23.87,23.91,23.9,23.87
1115,2019-03-15,23.8301,23.86,23.855,23.85
1114,2019-03-15,23.8,23.85,23.85,23.8138
1113,2019-03-15,23.78,23.87,23.79,23.87
1112,2019-03-15,23.85,23.881,23.85,23.88
1111,2019-03-15,23.91,23.99,23.91,23.95
1110,2019-03-15,23.91,23.95,23.95,23.91
1109,2019-03-15,23.84,23.9,23.87,23.9
1108,2019-03-15,23.84,23.95,23.88,23.94
1107,2019-03-15,23.99,24.02,23.99,24.02
1106,2019-03-15,23.94,24.05,24.03,23.94
1105,2019-03-15,23.85,23.96,23.91,23.85
1104,2019-03-15,23.745,23.83,23.83,23.76
1103,2019-03-15,23.68,23.78,23.75,23.72
1102,2019-03-15,23.52,23.7,23.7,23.52
1101,2019-03-15,23.47,23.55,23.4934,23.55
1100,2019-03-15,23.53,23.62,23.532,23.62
1099,2019-03-15,23.6344,23.78,23.6344,23.725
1098,2019-03-15,23.56,23.69,23.69,23.56
1097,2019-03-15,23.57,23.6051,23.59,23.57
1096,2019-03-15,23.56,23.7,23.56,23.7
1095,2019-03-15,23.635,23.73,23.73,23.635
1094,2019-03-15,23.64,23.74,23.64,23.69
1093,2019-03-15,23.67,23.8,23.67,23.7901
1092,2019-03-15,23.79,23.9,23.8,23.84
1091,2019-03-15,23.69,23.92,23.91,23.7
1090,2019-03-15,23.7,23.94,23.7,23.94
1089,2019-03-15,23.9074,24.11,24.03,23.9074
1088,2019-03-14,24.05,24.185,24.05,24.11
1087,2019-03-14,24.06,24.13,24.12,24.1
1086,2019-03-14,24.09,24.205,24.09,24.205
1085,2019-03-14,24.16,24.295,24.21,24.16
1084,2019-03-14,24.13,24.16,24.155,24.13
1083,2019-03-14,24.015,24.14,24.13,24.015
1082,2019-03-14,23.981,24.06,24.02,23.981
1081,2019-03-14,23.97,23.99,23.99,23.97
1080,2019-03-14,23.97,23.985,23.98,23.975
1079,2019-03-14,23.97,24.0,23.97,23.98
1078,2019-03-14,23.955,23.985,23.97,23.96
1077,2019-03-14,23.925,23.97,23.967,23.97
1076,2019-03-14,23.965,24.02,24.0,23.965
1075,2019-03-14,23.89,23.95,23.95,23.895
1074,2019-03-14,23.89,23.9,23.9,23.89
1073,2019-03-14,23.89,23.95,23.89,23.93
1072,2019-03-14,23.9,23.92,23.92,23.9
1071,2019-03-14,23.8901,23.98,23.8901,23.9064
1070,2019-03-14,23.87,23.905,23.905,23.87
1069,2019-03-14,23.86,23.95,23.86,23.93
1068,2019-03-14,23.86,23.9,23.9,23.87
1067,2019-03-14,23.79,23.8679,23.86,23.79
1066,2019-03-14,23.765,23.795,23.79,23.765
1065,2019-03-14,23.75,23.765,23.76,23.765
1064,2019-03-14,23.7698,23.815,23.7698,23.815
1063,2019-03-14,23.79,23.855,23.81,23.855
1062,2019-03-14,23.805,23.85,23.84,23.84
1061,2019-03-14,23.845,23.89,23.86,23.89
1060,2019-03-14,23.84,23.91,23.89,23.865
1059,2019-03-14,23.85,23.89,23.87,23.875
1058,2019-03-14,23.77,23.86,23.86,23.77
1057,2019-03-14,23.765,23.7928,23.765,23.79
1056,2019-03-14,23.75,23.795,23.78,23.795
1055,2019-03-14,23.74,23.8,23.8,23.74
1054,2019-03-14,23.66,23.75,23.75,23.66
1053,2019-03-14,23.64,23.665,23.655,23.645
1052,2019-03-14,23.5845,23.64,23.63,23.59
1051,2019-03-14,23.53,23.57,23.57,23.53
1050,2019-03-14,23.47,23.53,23.53,23.47
1049,2019-03-14,23.42,23.475,23.47,23.445
1048,2019-03-14,23.43,23.55,23.43,23.51
1047,2019-03-14,23.505,23.545,23.51,23.505
1046,2019-03-14,23.47,23.51,23.5,23.48
1045,2019-03-14,23.47,23.48,23.48,23.4723
1044,2019-03-14,23.4751,23.505,23.4751,23.49
1043,2019-03-14,23.44,23.47,23.47,23.455
1042,2019-03-14,23.34,23.465,23.465,23.34
1041,2019-03-14,23.32,23.335,23.325,23.335
1040,2019-03-14,23.26,23.325,23.325,23.27
1039,2019-03-14,23.255,23.3,23.2797,23.255
1038,2019-03-14,23.25,23.3,23.255,23.3
1037,2019-03-14,23.3,23.36,23.31,23.36
1036,2019-03-14,23.35,23.4,23.36,23.3508
1035,2019-03-14,23.32,23.36,23.34,23.36
1034,2019-03-14,23.27,23.36,23.34,23.36
1033,2019-03-14,23.28,23.34,23.3248,23.3
1032,2019-03-14,23.22,23.35,23.33,23.23
1031,2019-03-14,23.213,23.34,23.22,23.31
1030,2019-03-14,23.28,23.38,23.34,23.28
1029,2019-03-14,23.26,23.4,23.26,23.375
1028,2019-03-14,23.36,23.45,23.38,23.42
1027,2019-03-14,23.45,23.52,23.45,23.46
1026,2019-03-14,23.45,23.57,23.46,23.57
